tshabi,.983333,29.866667
soubba,-1.5,14.0833333
karemirom,13.3833333,14.8166667
malaba,2.4666667,9.8333333
boyawaza-moke,3.816667,20.1
dergigi,8.75,17.1666667
bozoy iv,7.1833333,16.4
pezer,6.6,13.8666667
kogle,9.1666667,15.9166667
mahibwe,-5.616667,26.333333
eshembe,-4.066667,23.116667
djonema,-.416667,20.35
ngouambang,2.1833333,10.2166667
tcherebaouel,9.0166667,15.7833333
babadza,4.25,15.5666667
benkuna,-6.533333,22.633333
mulombakua,-7.383333,25.716667
nambalo,4.2666667,14.65
yagbe,5.8166667,14.9
lunduma,-7.833333,29.6
kimadiata,-5.4,13.366667
lunea,-5.037778,28.788333
dola,13.5,15.0666667
fontsa,5.3333333,10.0833333
wilio,12.2666667,14.95
houli,10.45,13.6833333
eyang,3.8833333,11.3833333
lebagni,-1.3833333,12.6
ngaroua,10.4166667,14.5666667
musasa,-3.8,26.616667
baga,4.45,21.2833333
mbingeou,8.2666667,14.9666667
badyob,3.6833333,10.6833333
komondji,3.3666667,16.2
ebolboum,3.0666667,11.5
nkale,-2.55,22.733333
katil-foulbe,6.8666667,14.1166667
bayo,6.7833333,17.0333333
ganga,6.8166667,16.3333333
kwadinga,1.866667,30.3
shimata,-6.35,18.816667
nakargoum,14.1833333,20.8833333
museba,-9.85,26.566667
bimbiong,2.3166667,10.6
mutadi,-8.583333,28.516667
mitsang,0.7666667,12.55
eyouga ii,-1.6166667,13.7
ouakourou,4.8333333,16.75
mahim ii,9.2666667,17.1333333
manawatchi,11.0166667,14.0333333
pahou-youngou,-0.8,12.7166667
minkom,4.7333333,12.45
gwele,2.683333,20.283333
mikungu,-3.55,27.066667
akili,2.85,26.833333
kikunda,-1.433333,26.9
tshilolo,-9.033333,24.066667
bousgouyanga,14.0166667,21.3333333
bagerai,10.35,15.3166667
tangata,10.3666667,17.8833333
m'bata,6.1333333,14.3833333
mundeke,-6.633333,20.5
djoke,11.0666667,15.8333333
oyou,-1.35,13.75
bakomo,-3.666667,21.383333
kombo mianjou,3.9730556,9.5341667
doumassi,2.25,11.5
gangara na bodio,3.683333,29.133333
vieux wema,-.566667,21.933333
mwamukulu ii,-7.916667,19.183333
bori,6.4666667,13.3666667
boundou,8.15,13.4333333
sarki noma,6.35,11.8666667
biboul,13.6833333,14.5833333
kingumba,-5.166667,17.866667
kitumba,-1.633333,26.166667
sindalolo,8.4,16.8
gouliou seeli,13.4,15.6166667
doulbary,13.9666667,21.0833333
ntoto-bosengea,-.6,21.366667
am freribe,13.3166667,19.9833333
bakissa,5.3,15.75
masende,-8.316667,22.133333
talbeten,13.1166667,20.7666667
kamakombe,-2.278889,28.7925
nemosa,3.066667,27.783333
babogombe,.056389,25.548611
tshoka,-4.833333,24.683333
amour,12.7666667,19.2333333
isasa,-7.166667,22.65
tsunza,-5.8,16.466667
massombo,1.3,14.0833333
korango,5.8333333,21.5666667
matangi,-7.866667,17.75
nkono,4.05,12.9166667
muhindi,-4.316667,26.8
kadjoka,-3.498889,29.016389
kamukonga,-8.766667,24.583333
lenge,-8.35,24.416667
bantebe-eke,3.166667,26.133333
djabe,7.0666667,13.1833333
abdallah,4.433333,27.366667
nkolmeyos i,4.15,11.1333333
bancoupen,5.8666667,10.6666667
kiwaka,-6.883333,19.25
benvaga,-0.05,11.5166667
belembe,4.1166667,14.8666667
madjakala,-2.516667,26.833333
yelle,6.6333333,16.0166667
kitombetombe,-7.516667,27.883333
iboma-kota,3.25,19.033333
mupapaye,-4.65,27.833333
kanyamabo,-.383333,29.116667
kisonga,-11.883333,26.833333
nkolngok iii,3.5833333,11.35
palamba,-8.416667,28.933333
adia,2.833333,30.716667
engo ii,-6.083333,26.05
djamina i,12.0166667,14.7
numbi,-1.787778,28.893611
arar,13.1833333,21.5833333
bagbasingbe,.666667,25.3
sanda,-4.668333,15.430833
kibionso,-5.55,15.883333
boyasegwebe i,3.65,20.5
kabwita-kulu,-6.15,19.05
bamasa,5.8,19.5166667
soueye,10.0333333,14.75
niata,7.85,13.0
avore bamba,0.4833333,9.4
bandio-zouta,4.5666667,15.15
inkongu,-4.883333,23.3
kalonda,-5.699167,22.429444
sibabo,3.9,29.716667
kimbungu,-4.921944,15.186111
sanodjio,8.2666667,17.7
kasengo-dilundu,-7.016667,23.683333
lupongo,-5.483333,25.766667
mulaya,-5.316667,28.033333
baila-kali,8.95,15.5333333
salanou,-1.9,10.0
possel,5.0166667,19.25
gundu-kasangi,-5.9,19.866667
tubimbiti,.833333,23.8
samiji,-11.033333,23.2
kakwe,3.116667,25.116667
taki,-1.55,11.5166667
amguerite,12.5166667,22.1
kilungulungu,-3.133333,26.616667
kimbenza ii,-4.84,15.454167
bongwale,1.616667,24.383333
komba,2.883333,23.983333
misa,1.933333,27.916667
bandoro,5.9166667,17.5
manda,8.5833333,15.2833333
limboye,2.016667,21.766667
sele,3.7833333,12.5666667
kitebele-ya-ntanda,-7.116667,25.333333
ngamemzorek,0.7333333,11.65
mbrhim,2.5,9.8333333
kaladrizi,3.35,29.466667
mvanayeme,0.6,10.1333333
engolozok,2.2,10.8666667
tshondo,-3.816667,24.566667
mbamkouop,5.6666667,10.6166667
iseme,-4.55,19.15
bena-mualaba,-6.433333,23.583333
bari kolom,13.5666667,15.3166667
kolere,8.9666667,13.1166667
bangam,5.3333333,10.25
bimourbare,9.8666667,14.3166667
poko,3.15,26.883333
ladonn,9.5936111,18.0897222
tamjali,8.8,12.8666667
boulouba,6.8166667,22.25
divinde,-1.25,11.4833333
deka,4.9166667,21.7833333
bego,4.933333,19.183333
wafka,10.2333333,13.6333333
rountou,13.7333333,15.15
sepele,-10.969167,26.954722
oual,13.7,15.4
bagoussa,6.9333333,15.5
yamongala,1.6,23.083333
sandene i,8.65,17.7166667
labare-tingere,7.6833333,12.0833333
shamaziamu,-7.966667,19.016667
somine-kokese,-5.25,24.266667
naga,12.1,14.9
panda,-6.05,24.583333
kadjekelela,-1.65,27.166667
kiluntuta,-5.266667,16.2
mekone,1.8833333,11.85
dokolo,9.0666667,18.75
katanki,-5.316667,26.383333
fwatoni,-6.15,24.15
aziko,2.816667,30.683333
obolo,9.1,15.75
swana,-10.083333,24.616667
mefade,3.7666667,12.6166667
bondjoule,10.8833333,15.6833333
bobinda,8.35,16.45
tarboun,11.2333333,15.4166667
remera,-3.035,28.98
pene-pania,-4.566667,26.4
sahabay,13.2166667,17.9
massoua,8.8166667,17.65
kourkoudou,12.4333333,22.0666667
gata,3.616667,27.583333
gouin,7.1666667,17.4333333
mekok,1.7833333,11.4833333
minneri,10.6833333,21.2666667
bendele,3.766667,26.683333
nkomeye,4.6333333,12.55
imeno,0.9833333,11.8833333
lioudou,13.8,15.1
alagarno mousgoum,11.0166667,14.7166667
kalamba,-4.516111,29.202222
bokunde,3.316667,20.85
bokalanda,3.033333,20.15
mvangan,2.6333333,11.7333333
makoudoumi,7.6833333,15.8
bindja-sud,-3.483333,19.65
goues,11.9833333,14.65
gomana,8.9,17.4666667
bangwe,-3.576389,29.145556
dalio,6.1166667,20.2166667
eschbara,12.7,21.3333333
inua mba,4.5166667,8.6666667
limeme,1.7,19.666667
kumba,4.6438889,9.4386111
begara-daye,8.5166667,17.6833333
lokandu,-2.516667,25.783333
banza-kingulu,-5.616667,18.566667
biouaminso,5.1,11.0833333
nyaruvumu,-2.875,29.05
tshihongo,-9.983333,22.933333
pitoa,9.3833333,13.5333333
kara,9.1666667,14.0666667
idouma,-1.9,10.9333333
ndjanga,4.5333333,20.8666667
tshengeshi,-5.766667,16.783333
djoum,2.2833333,12.0666667
messondo,3.6833333,10.4833333
tinla,9.75,15.1166667
ntolok,3.7666667,12.9833333
mafanga,7.05,13.6833333
orogadji,12.3666667,14.3166667
bioko,4.8833333,8.9833333
bakwa-poie,-6.416667,23.333333
fouli,13.2166667,15.4166667
souka i,10.1333333,19.3333333
namuyombo,-10.366667,24.283333
mulebule,-5.5,25.966667
niongue,-1.6166667,11.5833333
tadila,-5.183333,14.783333
kimbuandi,-5.416667,13.2
alize,3.133333,30.433333
betare gongo,6.6166667,13.2166667
gere,2.983333,24.433333
zakaso,6.75,16.3333333
marua,10.5955556,14.3247222
rharaf,11.2166667,14.9166667
badile,.9,25.183333
arfi,11.2833333,15.3333333
sing,7.15,14.5333333
bamba,-3.916667,19.033333
aderke,21.2436111,17.4325
bombi,2.55,22.15
bafwaboto,1.683333,26.916667
mututa,-11.35,27.783333
bafwasengi,1.75,26.583333
kakoumade,6.25,20.8166667
mitsangui,-1.4833333,10.5666667
boende moke,-.316667,20.7
bouana,5.1333333,15.8333333
